index_col,tweet_text,country,no_user_mentions,ukraine,russia,ukrainewar,istandwithukraine,standwithukraineflag,istandwithputin,istandwithrussia,russianukrainewar
94,much world responded quickly people ukraine must get help well amp ,Saudi Arabia,3,1,0,0,0,0,0,0,0
95,steve paikin talks guests rajan menon defense priorities maria repnikova georgia state u sumit ganguly ,Canada,0,0,0,0,0,0,0,0,0
96,please share thread world know already needs see true face western liberal demo ,Pakistan,1,0,0,0,0,0,0,0,0
97, sir read tweet please ,India,1,0,1,0,0,0,0,0,0
98,map spring ,Italy,1,1,0,0,0,0,0,0,0
99,called journalists like simon tisdall exist make war uk regime journalists held ac ,Canada,2,0,0,0,0,0,0,0,0
100, offer price much proceeds go humanitarian aid people affected war ,Ukraine,0,0,0,0,0,0,0,0,0
101,given degree russia deifies soviets killed wwii notable reportedly targeting even ,United States,1,0,1,0,0,0,0,0,0
102,got russian military scared even tanks want go ,United States,1,1,0,0,0,0,0,0,0
103,sir read tweet please ,India,2,1,1,0,0,0,0,0,0
104,pentagon released video filmed army base georgia showing armored personn ,India,1,1,0,0,0,0,0,0,0
105,watch exclusive army chief gen manoj pande amp talks border ,India,3,0,0,0,0,0,0,0,0
106,latest donation supplies hospital western ,Ghana,1,1,0,0,0,0,0,0,0
107,days since russian invasion began today explore ukraine options respond faltering ,Netherlands,1,2,0,0,0,0,0,0,0
108,agree russia literally nazi germany version targeting civilians raping looting genocide ,Germany,1,0,1,0,0,0,0,0,0
109,almost ,Poland,1,0,0,0,0,0,0,0,0
110,meet daniela canadian red cross humanitarian expert supporting cash voucher assistance offi ,Canada,1,0,0,0,0,0,0,0,0
111,working closely national societies surrounding countries launched largest ,Canada,1,1,0,0,0,0,0,0,0
112,one babies killed teenage girls raped men women ages tortured amp killed wh ,Canada,1,1,0,0,0,0,0,0,0
113,makes surprise visit along leaders else proud braved ,Canada,1,1,0,0,0,0,0,0,0
114,village gorenka elderly lady bakes easter cakes ruined house people lost everything ,Spain,1,1,0,0,0,0,0,0,0
115,almost ,Canada,1,0,0,0,0,0,0,0,0
116,update yesterday attack rus hq designed liquidate high value target chief g ,Portugal,1,1,0,0,0,0,0,0,0
117,military code army protects peace ,Ukraine,0,1,0,0,0,0,0,0,0
118,explosions tomarovka belgorod region bridge seversky donets closed ,Poland,1,0,1,0,0,0,0,0,0
119,year old boy sees world raped soldier front mother find ,Germany,1,0,1,0,0,0,0,0,0
120,superpower show powers military included train armies wars paper ,Lebanon,0,0,0,0,0,0,0,0,0
121,nice compilation glory ,Ukraine,1,1,0,0,0,0,0,0,0
122,fuck another c amp c destroyed area like gerasimov mumu glory ,Estonia,1,1,0,0,0,0,0,0,0
123,challenge attitude amp make sure guide policy war reconstructing amp integrating ,Canada,1,0,0,0,0,0,0,0,0
124,occupied territories military destroying medical infrastructure removing equipment equip ,Austria,1,0,0,0,0,0,0,0,0
125,heartbreaking ,United Arab Emirates,1,1,0,0,0,0,0,0,0
126,breaking evidence navy trained dolphins deployed entrance sevastopol harbor war yo ,Thailand,1,1,0,0,0,0,0,0,0
127,year old boy sees world raped soldier front mother find ,Norway,1,0,1,0,0,0,0,0,0
128,russian troops significant casualties near staryi saltiv kharkiv region general staff armed forces ,United Kingdom,0,0,0,0,0,0,0,0,0
129,year old boy sees world raped soldier front mother find ,Austria,1,0,1,0,0,0,0,0,0
130,gonna call ,Lithuania,1,1,0,0,0,0,0,0,0
131,russian btr armored personnel carrier destroyed fire gvozdika mm self propelled howitzer ,Israel,1,1,0,0,0,0,0,0,0
132,join us discuss things ,India,1,1,0,0,0,0,0,0,0
133,railway bridge destroyed kursk region later governor region said collapse railway bridg ,United Kingdom,1,0,0,0,0,0,0,0,0
134,volunteers glory heroes ,Portugal,1,1,0,0,0,0,0,0,0
135, guy idiot one comedian parodies safe ,Malaysia,2,0,1,0,0,0,0,0,0
136,oppose strikes civilians stated japanese prime minister fumio ,United States,1,1,0,0,0,0,0,0,0
137,russian btr destroyed ukrainian uav corrected artillery fire battles eastern front ,Canada,1,1,1,0,0,0,0,0,0
138,occupied territories military destroying medical infrastructure removing equipment equip ,Ukraine,1,0,0,0,0,0,0,0,0
139,yesterday moment attack high ranked russian military officers gathered hqs ,Italy,1,1,0,0,0,0,0,0,0
140,update yesterday attack rus hq designed liquidate high value target chief g ,Italy,1,1,0,0,0,0,0,0,0
141,railway bridge destroyed kursk region later governor region said collapse railway bridg ,Canada,1,0,0,0,0,0,0,0,0
142,stealing agricultural hardware big style ,Germany,1,1,0,0,0,0,0,0,0
143,today control terrain map invasion axis ,Netherlands,2,1,1,0,0,0,0,0,0
144,intel work behind attacks impressive even russian opsec abysmal looks like ,Finland,1,0,0,0,0,0,0,0,0
145,year old boy sees world raped soldier front mother find ,United States,1,0,1,0,0,0,0,0,0
146,fans turning try intimidate protesters war ,United States,1,1,0,0,0,0,0,0,0
147,heroes glory ,Denmark,1,1,0,0,0,0,0,0,0
148,watch exclusive army chief gen manoj pande amp talks border ,India,3,0,0,0,0,0,0,0,0
149,former minister internal affairs avakov confirms wounded chief general staff ,Japan,1,1,0,0,0,0,0,0,0
150,year old boy sees world raped soldier front mother find ,Spain,1,0,1,0,0,0,0,0,0
151,year old boy sees world raped soldier front mother find ,Netherlands,1,0,1,0,0,0,0,0,0
152,excellent interview exclusive one one president volodymyr minutes australia ,Mexico,1,1,0,0,0,0,0,0,0
153,watch exclusive army chief gen manoj pande amp talks border ,India,3,0,0,0,0,0,0,0,0
154,interesting development entirely unexpected many major wars find foreign legion style units ,Estonia,1,0,0,0,0,0,0,0,0
155,gonna listen speech let one kenya ambassador unsc perfectly e ,Denmark,1,1,0,0,0,0,0,0,0
156, hypnotized modis chrisha spotify radio uplifting house vibes ,United Kingdom,1,1,0,0,0,0,0,0,0
157,video russian army destroyed weapons received us europe shocked pro russ ,Hong Kong,1,1,0,0,0,0,0,0,0
158,aftermath regime terrorists shelling mykolayiv today ,Germany,1,1,1,0,0,0,0,0,0
